0.0,-10,linear
0.0,-9,linear
0.0,-8,linear
0.0,-7,linear
0.0,-6,linear
0.0,-5,linear
0.0,-4,linear
0.0,-3,linear
0.0,-2,linear
0.0,-1,linear
0.0,0,linear
0.0,1,linear
0.0,2,linear
0.0,3,linear
0.125,4,linear
0.23529411764705882,5,linear
0.23529411764705882,6,linear
0.23529411764705882,7,linear
0.23529411764705882,8,linear
0.23529411764705882,9,linear
0.23529411764705882,10,linear
0.0,-10,poly
0.0,-9,poly
0.0,-8,poly
0.0,-7,poly
0.0,-6,poly
0.0,-5,poly
0.0,-4,poly
0.0,-3,poly
0.23076923076923078,-2,poly
0.22641509433962265,-1,poly
0.22641509433962265,0,poly
0.22641509433962265,1,poly
0.22641509433962265,2,poly
0.22641509433962265,3,poly
0.2222222222222222,4,poly
0.21818181818181817,5,poly
0.21818181818181817,6,poly
0.21818181818181817,7,poly
0.2857142857142857,8,poly
0.4262295081967213,9,poly
0.3389830508474576,10,poly
0.3389830508474576,-10,rbf
0.3389830508474576,-9,rbf
0.3389830508474576,-8,rbf
0.3389830508474576,-7,rbf
0.3389830508474576,-6,rbf
0.3389830508474576,-5,rbf
0.3389830508474576,-4,rbf
0.3389830508474576,-3,rbf
0.3389830508474576,-2,rbf
0.3389830508474576,-1,rbf
0.3389830508474576,0,rbf
0.3389830508474576,1,rbf
0.3389830508474576,2,rbf
0.3389830508474576,3,rbf
0.3389830508474576,4,rbf
0.3389830508474576,5,rbf
0.3389830508474576,6,rbf
0.3389830508474576,7,rbf
0.3389830508474576,8,rbf
0.3389830508474576,9,rbf
0.3389830508474576,10,rbf
0.0,-10,sigmoid
0.0,-9,sigmoid
0.0,-8,sigmoid
0.0,-7,sigmoid
0.0,-6,sigmoid
0.0,-5,sigmoid
0.0,-4,sigmoid
0.0,-3,sigmoid
0.0,-2,sigmoid
0.0,-1,sigmoid
0.0,0,sigmoid
0.0,1,sigmoid
0.0,2,sigmoid
0.0,3,sigmoid
0.0,4,sigmoid
0.0,5,sigmoid
0.0,6,sigmoid
0.0,7,sigmoid
0.0,8,sigmoid
0.0,9,sigmoid
0.0,10,sigmoid
